ID_Number,Menu_Number,Seq_Number,Title,Text
7,1,0,"state park permission","Thanks for placing a new cache in a very nice place. 

Permission is required to place any cache in a Florida State Park. 
In a new reviewer note,  please provide the name of the person and contact information  of the person giving permission for this one. 

http://www.letterboxing.org/lbna/FL-Policy.pdf

Below the link for webpage for this park



I'm going to disable this listing, pending permission. That disable note will explain how to proceed. "
8,0,4,"disable from NA ","Greetings from a volunteer reviewer. Based on information in the  logs, your  listing has been disabled. 

At a minimum, you need to post a log to the cache page within the next month, to let the community know that you intend to check on the cache.  If no log is posted by the cache owner,  the listing may be archived (permanently retired) by a reviewer. 

Please check the cache and repair, replace or move as needed. Then: 

* Enable the listing
* Post an Owner Maintenance log to remove the Needs Maintenance attribute icon if present
* If necessary, use an ""Update coordinates"" log to edit the cache coords. 

Archive the listing if you no longer wish to own it.  
Archive, Enable, Owner Maintenance and Update Coordinates are all log types available to cache owners. 





"
12,1,1,"cemetery","Cemeteries are generally private properties not intended for recreation. Please provide the name and contact information for the person who gave you permission for a hide in this one."
15,0,2,"disabling no permission/permit "," I'm temporarily disabling this cache listing to take it off the review queue.

 Please see the  Reviewer Note log for more information.

When you get permission for the cache, please:

1)  ENABLE  it!, click the ""Submit for Review"" button in the green box at the top of the cache page, or use an Enable log. 

2) copy the permission/permit email into a new reviewer note or provide the name and contact info of the person who gave permission into a new reviewer note. Reviewer note is a log type, available from the ""log your visit"" option in the upper right of the cache page. 

 It is not necessary to email me, if you enable the cache, I'll see it. 

I will archive the listing in a  month  if it doesn't get published. "
20,0,10,"how to respond ","
To post a reviewer note go to the cache page and click on respond in the box at the top, or Log Your Visit. Select ""Post Reviewer Note"" as the log type.
Reviewer notes will be automatically removed when the cache is published.

If there's no response from you in a week or two, I'll archive (permanently retire) the cache listing I do not monitor cache pages for changes. If you make edits without posting a NEW reviewer note, I will not know about those changes. 
 
 If you're reading this as email, don't reply to the sending address. It won't reach me. Follow the contact instructions above.

Thank you,
palmetto
 volunteer cache reviewer "
23,0,9,"saturation","Hi {%owner%}

Thanks for trying to add to the fun.
I cannot publish this cache, unfortunately, as it is too near an existing cache,
{[%nctitle%}, {%ncwptid%} {%ncdistft%}

 This violates the [cache saturation section](http://www.geocaching.com/about/guidelines.aspx#cachesaturation) of the listing guidelines, which requires that caches be at least one tenth mile (528 feet) from other caches.

Here's a link to a the [Help Center article](http://support.groundspeak.com//index.php?pg=kb.page&id=199http://support.groundspeak.com//index.php?pg=kb.page&id=199) on using the available tools on Geocaching.com to avoid being too near an existing cache. 


palmetto
Groundspeak volunteer cache reviewer "
26,0,1,"temp disable - saturation","I'm temporarily disabling this cache. Please see my Reviewer Note for more information. 
When you've had a chance to move the cache and edit the cache page, click the ""Submit for Review"" button in the green box at the top of the cache page. 

 It is not necessary to email me, if you Submit the cache, I'll see it. 

You'll find the ""edit listing"" link on the cache page in the navigation box in the upper right corner. 
 It will take you back to the cache report form. After editing, be sure to scroll to the bottom of the form and check the Submit Changes button and the two ""Yes, I have read...."" buttons.

Logs  on this page will not be seen by me unless the cache is Submitted for Review.   You can submit again just to ask questions - make it clear that you're asking a question, so I don't publish when the cache is not ready!  Use  Reviewer Note logs for this. 
Here's a link to the Knowledge Books article on [Managing Your Cache Listing.](http://support.groundspeak.com/index.php?pg=kb.page&id=234)

 If you think it unlikely that you will ever relocate the cache, please archive the listing page and remove the cache. 
The archive link is in the upper right corner of the cache page. 

I will archive the listing in a month  if it doesn't get published. 

Thank you, 
palmetto 
volunteer cache reviewer "
32,2,0,"travel bugs and coins","http://www.geocaching.com/track/howto.aspx"
37,2,1,"permission ","http://forums.groundspeak.com/GC/index.php?s=&showtopic=135446&view=findpost&p=2278334"
40,2,2,"changing coordinates ","To change the listing coordinates, you need to use a coordinate change log.

Find the ""edit listing"" link in the options box in the upper right corner of the cache page. That returns you to the original cache submit form.
There, under the current coordinates, you'll find a link, modify your coordinates via log entry   Click that link, it will take you to a new page:

 coordinate change log - Check the ""Add a waypoint to the log"" box - the page will reload with boxes for your new coordinates and a field for comments. You must enter something into the comments field.  You cannot edit those comments once submitted.

You can change coordinates up to ~528 feet. More than that requires a reviewer, and generally should be a new cache.  though there may be times when keeping the current listing with a long move is appropriate. If it won't accept a change that you know to be under 528 feet, please carefully check the new coordinates that you've entered! If you typo a number it can make a huge difference. 
"
